,Vector1,,,Vector2,,
560,6.75E-06,-6.64E-11,-1.43E-10,-2.89E-06,5.75E-12,1.06E-10
565,9.07E-06,-3.35E-11,-1.17E-10,2.68E-06,-8.85E-12,6.54E-11
570,4.03E-06,-1.64E-11,-1.12E-10,1.43E-06,-1.82E-11,6.02E-11
575,2.30E-06,-8.85E-12,-1.05E-10,9.88E-07,-2.03E-11,5.52E-11
580,1.72E-06,-5.31E-12,-9.59E-11,8.40E-07,-1.98E-11,5.03E-11
585,1.52E-06,-3.52E-12,-8.71E-11,7.83E-07,-1.85E-11,4.55E-11
590,1.43E-06,-2.71E-12,-7.86E-11,7.51E-07,-1.67E-11,4.10E-11
595,1.37E-06,-1.99E-12,-7.07E-11,7.25E-07,-1.52E-11,3.68E-11
600,1.32E-06,-1.58E-12,-6.34E-11,6.98E-07,-1.37E-11,3.29E-11
605,0.056274638,2.56E-11,-1.87E-12,0.029877912,3.52E-11,-1.67E-10
610,0.13366808,1.89E-11,-1.66E-12,0.073706655,1.69E-11,-8.72E-11
615,0.233075656,-1.43E-10,-4.85E-10,0.121773231,-2.14E-10,7.38E-10
620,0.378246564,-3.21E-10,-9.91E-10,0.195775938,-3.95E-10,1.44E-09
625,0.598547858,-7.48E-10,-1.77E-09,0.302516629,-6.85E-10,2.73E-09
630,0.939347628,-1.59E-09,-3.28E-09,0.453292852,-1.46E-09,5.38E-09
635,1.465015236,-5.21E-09,-6.23E-09,0.636456562,-2.00E-09,1.18E-08
640,1.910482067,2.14E-09,-3.18E-09,0.341862931,-2.97E-09,-2.77E-09
645,2.77725525,-2.44E-08,-8.38E-09,0.265589295,-2.06E-09,2.47E-08
650,0.35168091,-2.57E-08,1.18E-09,0.038477636,1.66E-09,2.52E-08
655,0.051820669,-8.93E-10,1.62E-10,0.006397928,-1.22E-10,1.12E-09
660,0.003704399,-3.62E-10,-9.72E-11,-0.002891051,-1.11E-10,2.60E-10
665,-1.24E-04,-1.84E-10,-4.56E-11,-0.001079819,-2.41E-11,9.28E-11
670,-2.35E-04,-1.02E-10,-2.15E-11,-3.73E-04,-2.21E-12,4.52E-11
675,-1.00E-04,-5.39E-11,-8.94E-12,-1.25E-04,9.59E-13,1.86E-11
680,-2.73E-05,-3.14E-11,-5.13E-12,-4.14E-05,2.11E-12,1.22E-11
685,-2.93E-06,-1.85E-11,-3.14E-12,-1.38E-05,1.80E-12,7.91E-12
690,4.23E-06,-1.10E-11,-1.96E-12,-4.73E-06,1.27E-12,5.05E-12
695,5.73E-06,-6.65E-12,-1.23E-12,-1.71E-06,8.47E-13,3.19E-12
700,5.48E-06,-4.02E-12,-7.73E-13,-6.96E-07,5.44E-13,2.01E-12
705,-5.004164397,4.60E-09,5.85E-10,0.006393208,-1.93E-10,-4.64E-09
710,-2.001317237,3.79E-08,9.19E-08,-1.285055947,8.55E-09,-9.79E-08
715,-1.893367592,-2.91E-08,-1.54E-07,-2.116344912,-2.80E-08,1.55E-07
720,0.283290962,-7.80E-08,9.33E-09,0.194099938,7.56E-08,2.18E-08
725,-0.818974769,-2.61E-08,2.27E-09,-0.846861833,2.51E-08,8.20E-09
730,0.337617863,-1.48E-08,4.51E-10,0.326733657,1.37E-08,5.32E-09
735,-0.003213122,-6.24E-09,3.44E-10,-8.72E-04,5.89E-09,2.09E-09
740,0.032096188,-2.05E-09,1.17E-10,0.032932152,1.95E-09,6.32E-10
745,0.072240034,-6.71E-10,4.33E-11,0.07259305,6.47E-10,1.56E-10
750,-0.031888805,-2.55E-10,1.89E-11,-0.03143964,2.66E-10,1.99E-11
755,6.76E-04,-1.02E-10,-5.70E-11,5.81E-04,6.06E-11,5.57E-11
760,6.75E-06,-4.00E-11,-8.63E-11,-2.89E-06,3.46E-12,6.38E-11
765,9.07E-06,-2.02E-11,-7.07E-11,2.68E-06,-5.33E-12,3.94E-11
770,4.03E-06,-9.84E-12,-6.76E-11,1.43E-06,-1.09E-11,3.62E-11
775,2.30E-06,-5.33E-12,-6.29E-11,9.88E-07,-1.22E-11,3.32E-11
780,1.72E-06,-3.19E-12,-5.77E-11,8.40E-07,-1.19E-11,3.02E-11
785,1.52E-06,-2.12E-12,-5.24E-11,7.83E-07,-1.11E-11,2.74E-11
790,1.43E-06,-1.64E-12,-4.73E-11,7.51E-07,-1.00E-11,2.47E-11
795,1.37E-06,-1.20E-12,-4.25E-11,7.25E-07,-9.14E-12,2.21E-11
800,1.32E-06,-9.49E-13,-3.82E-11,6.98E-07,-8.25E-12,1.98E-11
805,0.056274638,1.54E-11,-1.13E-12,0.029877912,2.12E-11,-1.00E-10
810,0.13366808,1.14E-11,-9.97E-13,0.073706655,1.02E-11,-5.24E-11
815,0.233075656,-8.63E-11,-2.92E-10,0.121773231,-1.29E-10,4.44E-10
820,0.378246564,-1.93E-10,-5.96E-10,0.195775938,-2.38E-10,8.65E-10
825,0.598547858,-4.50E-10,-1.06E-09,0.302516629,-4.12E-10,1.64E-09
830,0.939347628,-9.57E-10,-1.97E-09,0.453292852,-8.78E-10,3.24E-09
835,1.465015236,-3.13E-09,-3.75E-09,0.636456562,-1.20E-09,7.07E-09
840,1.910482067,1.29E-09,-1.92E-09,0.341862931,-1.78E-09,-1.67E-09
845,2.450922155,-2.53E-08,6.95E-08,0.337756872,7.29E-08,1.18E-08
850,0.649383754,-7.80E-08,-2.85E-08,0.341905175,-2.71E-08,7.95E-08
855,-0.924375602,-1.73E-09,-1.24E-08,-0.969097912,-1.28E-08,1.89E-09
860,0.045347275,-5.64E-10,-6.00E-09,0.017359617,-6.12E-09,6.29E-10
865,0.026627708,-1.55E-10,-2.32E-09,0.020354585,-2.36E-09,1.62E-10
870,0.007438982,-4.72E-11,-7.57E-10,0.006516438,-7.67E-10,5.38E-11
875,0.00229676,-1.09E-11,-2.44E-10,0.002110827,-2.49E-10,1.46E-11
880,7.23E-04,-7.26E-13,-7.84E-11,6.86E-04,-8.12E-11,3.02E-12
885,2.28E-04,1.53E-12,-2.50E-11,2.23E-04,-2.66E-11,-7.39E-14
