,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
110, 86.64862446455058, 104.49732554679726, 115.19084148716428, 86.64862446455058, 104.49732554679726, 115.19084148716428, 86.64862446455058, 11.705846267086862, 8.246078783160105, 18.76867650367633, 11.705846267086862, 8.246078783160105, 18.76867650367633, 11.705846267086862, 18.141822923435118, 44.43010413593556, 18.353605516604897, 18.141822923435118, 44.43010413593556, 18.353605516604897, 18.141822923435118, 38.70750919231245
115, 29.747076918008005, 51.63009851522409, 40.73057593287372, 29.747076918008005, 51.63009851522409, 40.73057593287372, 29.747076918008005, 24.795439760209977, 12.00553989605277, 7.906927617902616, 24.795439760209977, 12.00553989605277, 7.906927617902616, 24.795439760209977, 4.571167802044811, 25.503490090136378, 11.52406489211802, 4.571167802044811, 25.503490090136378, 11.52406489211802, 4.571167802044811, 4.703759187624858
120, 122.55677469249319, 132.37836550550924, 116.19962819522182, 122.55677469249319, 132.37836550550924, 116.19962819522182, 122.55677469249319, 12.987207626909552, 5.7351660561426865, 6.603399845309291, 12.987207626909552, 5.7351660561426865, 6.603399845309291, 12.987207626909552, 7.538621175365312, 13.63762977326591, 17.3175644435385, 7.538621175365312, 13.63762977326591, 17.3175644435385, 7.538621175365312, 7.402271053323417
125, 83.16312759600159, 101.06692685775549, 96.25748570199396, 83.16312759600159, 101.06692685775549, 96.25748570199396, 83.16312759600159, 15.424192601286471, 11.6202452840261, 13.213133367919822, 15.424192601286471, 11.6202452840261, 13.213133367919822, 15.424192601286471, 8.251165951110815, 13.444205234603395, 19.515162423816545, 8.251165951110815, 13.444205234603395, 19.515162423816545, 8.251165951110815, 7.7535305159017485
130, 50.150854453428195, 64.42151353167304, 73.95680192619908, 50.150854453428195, 64.42151353167304, 73.95680192619908, 50.150854453428195, 5.198546635255309, 13.122080373554873, 10.995456633234337, 5.198546635255309, 13.122080373554873, 10.995456633234337, 5.198546635255309, 9.168481408848036, 7.781759441421976, 5.039158394678526, 9.168481408848036, 7.781759441421976, 5.039158394678526, 9.168481408848036, 20.484692897771257
135, 96.13782246050246, 111.29927582712558, 107.39430498797336, 96.13782246050246, 111.29927582712558, 107.39430498797336, 96.13782246050246, 9.105138865264026, 7.714812095010013, 9.568791326591727, 9.105138865264026, 7.714812095010013, 9.568791326591727, 9.105138865264026, 4.223792915582421, 23.91315993220794, 12.065693303002943, 4.223792915582421, 23.91315993220794, 12.065693303002943, 4.223792915582421, 9.887784394529719
140, 42.740316130444285, 51.91583271312575, 43.15155386990943, 42.740316130444285, 51.91583271312575, 43.15155386990943, 42.740316130444285, 7.207769679331691, 10.938621912999958, 21.670116037819724, 7.207769679331691, 10.938621912999958, 21.670116037819724, 7.207769679331691, 9.65456279439773, 28.7201910952629, 23.278217777694298, 9.65456279439773, 28.7201910952629, 23.278217777694298, 9.65456279439773, 15.449275823804564
145, 37.66966832698007, 36.23809842445855, 35.59061513459783, 37.66966832698007, 36.23809842445855, 35.59061513459783, 37.66966832698007, 5.411398635703741, 6.685258203106898, 3.841930134197353, 5.411398635703741, 6.685258203106898, 3.841930134197353, 5.411398635703741, 13.676077616650625, 4.664203885995768, 11.720423518299922, 13.676077616650625, 4.664203885995768, 11.720423518299922, 13.676077616650625, 9.633569436780807
150, 37.37849975710443, 42.85525594276372, 22.9156133452974, 37.37849975710443, 42.85525594276372, 22.9156133452974, 37.37849975710443, 20.080873574478797, 14.750127062495348, 10.309842644479705, 20.080873574478797, 14.750127062495348, 10.309842644479705, 20.080873574478797, 7.950157433969882, 32.849780607741884, 14.755976720706796, 7.950157433969882, 32.849780607741884, 14.755976720706796, 7.950157433969882, 5.975281802283708
155, 36.94311931590307, 55.98439565523699, 51.78330476493522, 36.94311931590307, 55.98439565523699, 51.78330476493522, 36.94311931590307, 5.191585009528092, 10.598393973394554, 9.984824187651714, 5.191585009528092, 10.598393973394554, 9.984824187651714, 5.191585009528092, 25.23382057192617, 29.97520709150354, 24.76681774293775, 25.23382057192617, 29.97520709150354, 24.76681774293775, 25.23382057192617, 13.077730339586687
