,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,,,,,,,,,,,
830,0.0086384,0.024990151,-0.050216226,0.047713253,-0.050250228,-0.024972941,1.010764626,-0.010947424,0.054854868,-0.050239516,-0.047666164,-0.025009964,-0.071599686,0.024455193,-0.047860559,-0.800907171,0.008141801,-0.026875216,-0.802455061,-0.026893289,-0.008076514,,,,,,,,,,
835,-0.107093734,0.01772218,0.138013009,-0.099980506,0.137958094,-0.018364992,-1.252011592,-0.057839726,-0.126344503,0.13797418,0.099992065,-0.018365827,0.134849829,0.018258565,0.099949025,-0.526028383,0.008789457,-0.013193702,-0.526270428,-0.013163098,-0.008848704,,,,,,,,,,
840,-0.099595458,-0.006803647,0.132135355,-0.110229151,0.132247306,0.006603301,-0.753615435,-5.66E-04,-0.132254272,0.132248308,0.110247414,0.006584188,0.131793382,-0.006648243,0.110234888,-0.413935939,0.002165686,-0.003150917,-0.413967644,-0.003105995,-0.002180435,,,,,,,,,,
845,0.164873554,0.004486341,-0.221705673,0.163336635,-0.22170264,-0.004443546,0.735192615,0.007079509,0.221491857,-0.221739307,-0.16336229,-0.00446896,-0.221758465,0.004430532,-0.163337851,-0.3794604,6.63E-04,-8.74E-04,-0.3794607,-8.68E-04,-6.56E-04,,,,,,,,,,
850,0.237981786,-0.022523273,-0.323559546,0.238289675,-0.323625224,0.022571368,0.725428369,0.077823325,0.314843774,-0.323603447,-0.238284264,0.022571225,-0.323636182,-0.022571603,-0.238289442,-0.430061088,2.14E-04,-1.86E-04,-0.430061107,-1.99E-04,-2.09E-04,,,,,,,,,,
855,0.113192862,-0.039694752,-0.197333225,0.112482676,-0.19721143,0.039655032,-1.142328157,0.062434902,0.191150738,-0.197164656,-0.112481511,0.039671746,-0.197217045,-0.039650733,-0.112484084,-0.588508155,7.10E-05,1.68E-05,-0.588516316,-3.71E-07,-7.84E-05,,,,,,,,,,
860,-0.268632652,-0.060469125,0.257775975,-0.268863582,0.257599171,0.060322929,-0.252896358,0.059075638,-0.257048492,0.25759931,0.269002553,0.060227382,0.257581606,-0.060328326,0.268882354,-0.825247215,-4.15E-04,5.46E-04,-0.659867453,5.37E-04,4.10E-04,,,,,,,,,,
865,-0.219235847,0.18629889,0.274145998,-0.143050482,0.273986937,-0.186267699,0.952925091,-0.210175009,-0.256507876,0.273885848,0.142921598,-0.186335466,0.274021825,0.186266047,0.143029155,-1.073262683,-0.00112332,8.24E-04,-0.784546234,8.55E-04,0.001093852,,,,,,,,,,
870,-0.010147124,0.013518744,-0.014593639,0.01932768,-0.014573678,-0.013419567,0.898960951,-0.010932475,0.019054178,-0.014549977,-0.01935325,-0.013381715,-0.014565898,0.013417691,-0.019324028,-2.004250002,-0.037237275,-0.019290958,-0.096020139,-0.012166904,0.04012721,,,,,,,,,,
875,-0.025236366,-0.028763168,0.075222918,-0.055159204,0.075415775,0.028522543,-1.389708054,0.005675687,-0.080057023,0.075453231,0.055176778,0.028532997,0.075411295,-0.028523702,0.055160362,0.395181065,0.304601858,-0.023273379,0.698869812,-0.166221082,-0.255962229,,,,,,,,,,
880,-0.06338321,0.00664162,0.093424469,-0.067718059,0.093442856,-0.006724852,-0.594961802,-0.010458561,-0.092698025,0.093400138,0.067689129,-0.006809095,0.093450519,0.006721811,0.067722585,-0.493425639,0.215528967,0.027260537,0.382360608,-0.094992825,-0.195357781,,,,,,,,,,
885,0.113152499,-0.028133393,-0.15325874,0.11263598,-0.153654238,0.028103198,0.095350264,0.02968176,0.153587686,-0.153585709,-0.112405821,0.02806282,-0.153689684,-0.028093236,-0.112657815,0.182349083,-0.332873991,0.015328649,0.244631531,0.218569705,0.251954962,,,,,,,,,,
890,-0.019705324,8.30E-04,0.028247745,-0.021139548,0.028233939,-8.02E-04,-0.038533313,-8.04E-04,-0.02821404,0.028263901,0.021136688,-7.74E-04,0.028231931,8.01E-04,0.02114045,-0.095535692,-0.049476389,0.006690762,-0.103562503,0.036654249,0.034254934,,,,,,,,,,
895,-0.049993812,-0.008047988,0.070327179,-0.050298871,0.070435749,0.00790935,-0.052792237,0.007911083,-0.070435409,0.070382172,0.050201037,0.007774316,0.070437789,-0.00790515,0.050288022,0.131696699,0.018849424,-2.11E-04,-0.353263341,-0.012111448,-0.014550156,,,,,,,,,,
900,0.00709105,-0.005829525,-0.010393975,0.008538236,-0.010579787,0.005937545,0.008203247,0.005941575,0.010587142,-0.010580618,-0.008582493,0.006010828,-0.010581301,-0.005933713,-0.008546536,-0.030722955,0.006338368,-3.83E-04,-0.826508278,-0.003641461,-0.005207668,,,,,,,,,,
905,0.003480181,-0.005637805,0.004395348,-0.005748388,0.00442542,0.005703792,0.337708195,0.005699991,-0.004429208,0.004452801,0.005729923,0.005742648,0.00442311,-0.005702952,0.005746274,-0.014142202,6.33E-04,7.83E-04,-0.167017511,4.41E-04,-9.51E-04,,,,,,,,,,
910,0.001496256,9.23E-04,0.014321624,-0.014369726,0.014460313,-7.90E-04,0.289643412,-0.002469083,-0.014306575,0.014452506,0.014386823,-7.54E-04,0.014461085,7.90E-04,0.014370671,-0.00475033,-1.67E-04,1.51E-04,-0.035815742,2.18E-04,7.56E-05,,,,,,,,,,
915,0.137740408,-0.046130437,-0.02028689,-0.037176205,-0.020717037,0.045953557,-0.748938984,0.046596709,0.019095534,-0.020743283,0.037175865,0.045969551,-0.020717407,-0.045947773,0.0371729,0.022242384,2.73E-06,-0.001171966,0.233420894,-0.001026323,5.16E-04,,,,,,,,,,
920,0.237829557,-0.128050074,-0.119987624,0.006128741,-0.128039238,0.120254369,0.135208928,0.118505647,0.129743509,-0.128013599,-0.006161293,0.120290238,-0.128046981,-0.12025379,-0.006102029,0.004074716,-0.001187779,-9.62E-05,0.224985768,7.09E-04,0.001013351,,,,,,,,,,
925,0.091222061,-0.059863768,-0.06771876,0.032222879,-0.072661659,0.053917193,1.535242876,0.059679658,0.067766787,-0.072649541,-0.032247905,0.053915244,-0.072669894,-0.053916422,-0.032216815,0.016673564,-3.84E-04,-0.002558924,0.492477664,-0.00191997,0.001749303,,,,,,,,,,
930,-0.131974462,0.141978641,0.202944848,-0.132664483,0.213888146,-0.124776419,1.102477134,-0.192127947,-0.155927716,0.213807865,0.132682059,-0.124783463,0.213896206,0.124771466,0.132656689,-0.002546786,2.14E-04,-0.002744231,0.542301406,-0.002312477,0.001505485,,,,,,,,,,
935,-0.137299986,0.155723057,0.18735182,-0.136245135,0.199433817,-0.139745628,-1.264718769,-0.204544298,-0.132380834,0.199381748,0.136207531,-0.13981382,0.199448689,0.139743955,0.136233207,0.005821019,5.04E-04,-2.63E-04,0.052422891,-5.06E-04,-2.10E-04,,,,,,,,,,
940,0.088928778,-0.201469364,-0.094433239,0.06474284,-0.132628626,0.177438619,-1.387229506,0.196238861,0.105683411,-0.132678508,-0.064765318,0.177391731,-0.132635962,-0.177434217,-0.064734504,-9.23E-04,1.18E-04,0.001249998,-0.241168256,9.03E-04,-9.40E-04,,,,,,,,,,
945,0.318836868,-0.222307368,-0.201179188,0.057442439,-0.242445163,0.175733252,0.25139348,0.181186515,0.239999588,-0.2423334,-0.057289299,0.175753241,-0.242470562,-0.175722709,-0.057438587,6.38E-05,-1.11E-04,3.36E-04,-0.07410096,3.39E-04,-1.39E-04,,,,,,,,,,
950,-0.056502199,0.032981495,0.048360899,-0.022920498,0.054426798,-0.02157748,-0.51528071,-0.024875707,-0.05252824,0.054449887,0.022829939,-0.021593188,0.054425586,0.021574533,0.022921671,0.005987813,-2.89E-05,2.28E-05,0.009001881,5.08E-05,2.59E-06,,,,,,,,,,
955,0.431427595,-0.070446851,0.049481078,-0.26260083,0.02884959,0.081389653,-0.355115008,0.081361535,-0.029461968,0.02880603,0.26263363,0.081396962,0.028851229,-0.081373743,0.262601689,0.003215123,3.38E-04,-1.04E-04,0.032847787,-2.73E-04,-2.07E-04,,,,,,,,,,
960,0.416638155,-0.315416857,-0.216693043,0.059459015,-0.319099666,0.212170487,0.046126709,0.212647875,0.318919227,-0.319140912,-0.059429907,0.212160581,-0.319108722,-0.212158222,-0.059435482,0.001042037,8.56E-05,-1.18E-05,0.007200985,-6.38E-05,-5.80E-05,,,,,,,,,,
965,0.340275978,-0.301190966,-0.249664975,0.105254326,-0.352816026,0.169658383,1.444258721,0.19598293,0.338365193,-0.352783845,-0.105247574,0.169650795,-0.352832191,-0.169644828,-0.105242662,3.38E-04,2.99E-05,2.05E-06,0.001808954,-2.01E-05,-2.30E-05,,,,,,,,,,
970,0.050406717,-0.045759404,-0.037024887,0.016026144,-0.05378028,0.024162792,0.547198643,0.042311505,0.041627006,-0.053764151,-0.016019245,0.024163589,-0.053786153,-0.02416148,-0.01602297,1.61E-05,9.78E-06,4.25E-06,4.98E-04,-5.74E-06,-8.67E-06,,,,,,,,,,
975,0.02577273,-0.023223148,-0.024767419,0.01261048,-0.032592849,0.009767089,-1.708069931,0.017916549,0.029261551,-0.032601146,-0.012539452,0.009757804,-0.032588418,-0.009764076,-0.012613635,-2.23E-04,2.87E-06,3.09E-06,1.45E-04,-1.58E-06,-2.91E-06,,,,,,,,,,
980,0.320164225,-0.276339894,-0.212770915,0.067665434,-0.314579459,0.150535362,0.005120381,0.151124216,0.314296169,-0.314580851,-0.067691063,0.150562053,-0.314585458,-0.150518985,-0.067661586,-2.71E-04,6.49E-07,3.05E-06,3.89E-05,2.29E-07,-1.41E-06,,,,,,,,,,
985,0.296591017,-0.287606338,-0.226351931,0.104201286,-0.337001709,0.142900712,0.432219591,0.160760042,0.328807056,-0.337013459,-0.104149765,0.142870699,-0.33701176,-0.142887415,-0.104191737,-2.63E-04,-2.52E-08,2.79E-06,5.95E-06,7.46E-07,-8.87E-07,,,,,,,,,,
990,0.334991162,-0.337378686,-0.257583414,0.122139939,-0.393619116,0.158989009,-0.14085925,0.186098335,0.381559867,-0.393635823,-0.12211269,0.158964068,-0.39362822,-0.158972817,-0.122130443,-2.39E-04,-2.09E-07,2.46E-06,-4.40E-06,8.35E-07,-6.67E-07,,,,,,,,,,
995,0.455403842,-0.480302304,-0.351686589,0.173159577,-0.555912894,0.213069957,0.023202973,0.219983438,0.553260283,-0.555928336,-0.173172974,0.213066614,-0.555923449,-0.213047056,-0.173146902,-2.13E-04,-3.41E-07,2.15E-06,-7.51E-06,8.60E-07,-4.75E-07,,,,,,,,,,
1000,6.512304671,-0.837968946,-0.512682193,-0.059186491,-0.923520069,0.334709797,-0.081059797,0.335840474,0.923101584,-0.923556151,0.059133984,0.33462524,-0.923532803,-0.334651914,0.059204755,-1.89E-04,-2.36E-07,1.85E-06,-8.44E-06,7.10E-07,-4.56E-07,,,,,,,,,,
1005,-7.999947144,-0.312107497,0.167557084,0.506241899,-0.127555475,0.323505589,0.324092115,0.323771777,0.124934242,-0.127521089,-0.506223655,0.323555622,-0.127565252,-0.323526787,-0.506229111,-1.67E-04,-1.85E-07,1.59E-06,-8.62E-06,5.97E-07,-4.04E-07,,,,,,,,,,
1010,-1.086067687,-0.443848124,0.045473276,0.15754448,0.006487716,0.44606294,0.241778511,0.445755867,-0.012644324,0.006471465,-0.157481351,0.446071951,0.006462656,-0.446074226,-0.157513573,-1.47E-04,-1.51E-07,1.36E-06,-8.55E-06,5.12E-07,-3.55E-07,,,,,,,,,,
1015,0.225988626,-0.34776937,-0.079053871,0.407028955,-0.077439574,0.345734855,0.282658759,0.346666798,0.072673327,-0.077464063,-0.406988932,0.34571248,-0.07745192,-0.345755645,-0.407003856,-1.30E-04,-1.26E-07,1.17E-06,-8.43E-06,4.38E-07,-3.08E-07,,,,,,,,,,
1020,0.254383758,-0.475459387,-0.101743733,0.280839372,-0.100056296,0.475139154,0.28750153,0.475382449,0.098824391,-0.10009174,-0.280778493,0.475164315,-0.100084062,-0.475148906,-0.28081255,-1.14E-04,-1.06E-07,9.98E-07,-8.30E-06,3.75E-07,-2.66E-07,,,,,,,,,,
1025,0.057196627,-0.102467461,-0.099967746,0.061019674,-0.09900935,0.102448739,0.044396946,0.10258079,0.098870219,-0.099033299,-0.061054159,0.10235843,-0.099004506,-0.10244852,-0.06100846,-1.01E-04,-8.93E-08,8.55E-07,-8.18E-06,3.20E-07,-2.29E-07,,,,,,,,,,
1030,-0.185998406,0.318672308,0.039176795,-0.185461178,0.039520351,-0.318651043,-0.188214229,-0.318685876,-0.03937883,0.039541045,0.1854068,-0.31869419,0.039542076,0.318658323,0.185444539,-8.87E-05,-7.55E-08,7.32E-07,-8.08E-06,2.74E-07,-1.97E-07,,,,,,,,,,
1035,-0.119088539,0.209523674,0.007611604,-0.119013785,0.007708502,-0.209522093,-0.119401218,-0.209661708,-0.007517056,0.007751668,0.11902761,-0.209495304,0.007737659,0.209529323,0.118999723,-7.82E-05,-6.38E-08,6.27E-07,-7.98E-06,2.34E-07,-1.69E-07,,,,,,,,,,
1040,-0.136039804,0.128229005,0.181619183,-0.136028862,0.181654233,-0.128227545,-0.13608907,-0.128200573,-0.181723661,0.18164507,0.13602074,-0.128227158,0.181662677,0.128225171,0.136019584,-6.89E-05,-5.44E-08,5.37E-07,-7.89E-06,2.00E-07,-1.45E-07,,,,,,,,,,
1045,-0.072170069,0.12273334,0.020321523,-0.072168592,0.02033261,-0.1227333,-0.072113816,-0.122789629,-0.020204702,0.020368131,0.072185495,-0.122717824,0.020340492,0.122736649,0.07216042,-6.07E-05,-4.74E-08,4.60E-07,-7.81E-06,1.74E-07,-1.25E-07,,,,,,,,,,
1050,-0.054846159,0.094558939,0.018283842,-0.054845942,0.018287425,-0.094559099,-0.054844303,-0.094607562,-0.018204511,0.018311108,0.054824133,-0.094556696,0.018293121,0.09456129,0.054840025,-5.35E-05,-4.12E-08,3.95E-07,-7.74E-06,1.50E-07,-1.07E-07,,,,,,,,,,
1055,-0.045239803,0.079129397,0.016282877,-0.045239749,0.016283949,-0.079129618,-0.045287695,-0.079142781,-0.016287389,0.016286198,0.045193539,-0.079142594,0.016288664,0.079131256,0.045234999,-4.72E-05,-3.45E-08,3.38E-07,-7.69E-06,1.28E-07,-9.22E-08,,,,,,,,,,
1060,-0.042349819,0.074071558,0.015635656,-0.04234977,0.01563592,-0.074071788,-0.04237985,-0.074075468,-0.01564922,0.01563565,0.042315138,-0.074082941,0.015640335,0.074073263,0.042345408,-4.16E-05,-2.85E-08,2.89E-07,-7.65E-06,1.08E-07,-7.92E-08,,,,,,,,,,
1065,-0.045487295,0.079147676,0.016876944,-0.04548722,0.016876935,-0.079147928,-0.045495151,-0.079150419,-0.016877116,0.016879744,0.045471773,-0.079153451,0.016881666,0.079149492,0.04548261,-3.66E-05,-2.39E-08,2.47E-07,-7.61E-06,9.17E-08,-6.80E-08,,,,,,,,,,
1070,-0.054865413,0.095146785,0.020363654,-0.054865305,0.020363541,-0.095147079,-0.054868304,-0.095149347,-0.020358456,0.02036809,0.054855198,-0.095151236,0.020369249,0.095148965,0.054859786,-3.23E-05,-2.01E-08,2.12E-07,-7.57E-06,7.81E-08,-5.83E-08,,,,,,,,,,
1075,-0.071820912,0.124133705,0.026605341,-0.071820763,0.026605163,-0.12413408,-0.071822629,-0.124136596,-0.026596716,0.026611495,0.071810855,-0.124138596,0.026612636,0.124136553,0.071813576,-2.85E-05,-1.70E-08,1.81E-07,-7.53E-06,6.67E-08,-5.00E-08,,,,,,,,,,
1080,-0.099419313,0.171122136,0.036669427,-0.099419134,0.036669126,-0.171122667,-0.099420537,-0.171125507,-0.036657269,0.036677895,0.099407156,-0.171128756,0.036679465,0.171126093,0.099409236,-2.51E-05,-1.44E-08,1.55E-07,-7.50E-06,5.69E-08,-4.29E-08,,,,,,,,,,
1085,-0.141552057,0.242213504,0.051911095,-0.141551808,0.051910708,-0.242214219,-0.141553757,-0.242218116,-0.051893762,0.051923889,0.141535635,-0.242222273,0.051925414,0.242219121,0.141537825,-2.21E-05,-1.22E-08,1.33E-07,-7.48E-06,4.86E-08,-3.68E-08,,,,,,,,,,
1090,-0.201215632,0.341461156,0.073089661,-0.201215268,0.073089292,-0.341462061,-0.201218203,-0.341467426,-0.073064315,0.073107615,0.201193558,-0.341472984,0.073110136,0.341469094,0.201195602,-1.95E-05,-1.03E-08,1.13E-07,-7.45E-06,4.15E-08,-3.16E-08,,,,,,,,,,
1095,-0.338622713,0.151975872,0.207236937,-0.036535118,0.206730697,-0.152066785,-0.036449032,-0.152114883,-0.206569421,0.206714373,0.036782034,-0.152144436,0.206722059,0.152080964,0.036480456,-1.72E-05,-8.74E-09,9.71E-08,-7.43E-06,3.55E-08,-2.71E-08,,,,,,,,,,
1100,-0.103595912,0.041262811,0.142371264,-0.074387266,0.141672275,-0.043357308,-0.074378783,-0.043361305,-0.141676445,0.141671534,0.074408697,-0.043354936,0.141677426,0.043354105,0.074382728,-1.51E-05,-7.40E-09,8.30E-08,-7.41E-06,3.03E-08,-2.32E-08,,,,,,,,,,
1105,0.046357704,-0.018029151,-0.067347661,0.036705679,-0.067255194,0.01868336,0.036714582,0.018696886,0.067194472,-0.067246089,-0.036640241,0.018667757,-10.06728927,-0.002093863,-0.0412267,0.002537212,0.002932284,-3.20E-04,0.002167762,-0.002234221,-0.002053462,,,,,,,,,,
1110,0.112707974,-0.052810807,-0.158113783,0.088664333,-0.158199206,0.053152956,0.108351431,0.056389612,0.156104731,-0.158233611,-0.08859941,0.05309999,0.040857646,0.025877355,-0.091717198,0.020616215,0.022005369,-9.48E-04,-0.031495027,-0.014639798,-0.016301862,,,,,,,,,,
1115,0.145126684,-0.102651695,-0.204429032,0.140349519,-0.204433055,0.102673361,0.040339074,0.104394997,0.203379641,-0.204445729,-0.140307618,0.102650941,0.008417863,0.04037168,-0.165560966,0.013811546,0.023171618,-0.001693435,0.002188632,-0.016017214,-0.017001816,,,,,,,,,,
1120,0.033828921,-0.029924147,0.060044151,0.033171856,0.060116587,0.029951344,0.011234999,0.029755009,-0.06034268,0.060081703,-0.033227196,0.029958846,0.133860216,0.004676792,-0.04328105,0.041252676,6.73E-04,2.15E-04,-0.042838399,-3.39E-04,-5.66E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,0.003119683,0.001026762,-6.53E-05,-0.003837346,-6.98E-04,-7.58E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,0.001014536,2.91E-04,-1.94E-05,-0.001248688,-1.97E-04,-2.14E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,3.26E-04,8.10E-05,-7.47E-06,-4.08E-04,-5.58E-05,-5.89E-05,,,,,,,,,,
