,Vector1,,,Vector2,,
930,-2.012289309,0.97470905,-0.122246237,-0.122193838,2.012267845,-0.974638358
935,-0.70351565,-0.864999392,-0.552103248,-0.552110755,0.703512887,0.865008177
940,0.952546185,0.499282402,0.24122707,0.241223602,-0.95254045,-0.499288224
945,0.011875891,-1.248975599,0.202835126,0.202815961,-0.011861741,1.24894035
950,0.160130568,-0.165175041,0.024844338,0.024861003,-0.160128171,0.165211509
955,-0.561471903,0.592751108,-0.054169906,-0.054187467,0.561463319,-0.592755362
960,0.024665916,0.017098085,0.02946843,0.029481939,-0.024665578,-0.017097777
965,-0.054789322,9.19E-04,0.001385849,0.001374924,0.054768898,-9.69E-04
970,-0.020406799,0.033275386,-0.002266774,-0.00223225,0.020415827,-0.033265222
975,-0.005945161,0.001354382,9.61E-05,1.00E-04,0.005945904,-0.001346745
980,-0.001932787,4.37E-04,4.47E-05,4.49E-05,0.00193256,-4.35E-04
985,-6.29E-04,1.41E-04,2.47E-05,2.21E-05,6.29E-04,-1.42E-04
990,-2.04E-04,4.53E-05,1.32E-05,1.14E-05,2.04E-04,-4.71E-05
995,-6.62E-05,1.44E-05,6.88E-06,5.90E-06,6.61E-05,-1.60E-05
1000,-2.13E-05,4.55E-06,4.27E-06,4.05E-06,2.11E-05,-5.83E-06
1005,-0.203144208,-0.815132306,-0.029342616,-0.029164662,0.202947209,0.814745729
1010,-0.917272652,-0.443018936,-0.301273808,-0.301339161,0.917234954,0.44293437
1015,-0.244099641,0.954205918,-0.417135004,-0.417195278,0.244143185,-0.954118497
1020,0.769169268,0.329370468,0.63320717,0.633142286,-0.769192996,-0.329265086
1025,-1.237283017,0.010824802,-0.093955094,-0.09397742,1.237264367,-0.01080915
1030,-0.774166679,-0.74120972,-0.103463115,-0.103393921,0.774239695,0.74117016
1035,0.012438316,0.428049917,0.441237611,0.441255821,-0.012448758,-0.428067249
1040,0.690122023,-0.133491174,-0.183406008,-0.183401776,-0.690123138,0.133488056
1045,-0.090920118,0.131627037,0.062295313,0.062295204,0.090938083,-0.131632713
1050,-0.03035209,-0.011385891,-0.005305712,-0.005332148,0.030339938,0.01140494
1055,4.71E-04,1.41E-04,4.43E-04,4.36E-04,-4.76E-04,-1.34E-04
1060,1.66E-04,6.07E-05,1.12E-04,1.11E-04,-1.67E-04,-5.70E-05
1065,6.07E-05,2.26E-05,3.03E-05,3.48E-05,-5.83E-05,-2.44E-05
1070,2.91E-05,1.00E-05,9.36E-06,1.49E-05,-2.61E-05,-1.37E-05
1075,1.70E-05,5.28E-06,3.27E-06,8.04E-06,-1.43E-05,-8.94E-06
1080,1.10E-05,2.75E-06,1.54E-06,5.15E-06,-8.43E-06,-5.95E-06
1085,7.58E-06,1.70E-06,5.67E-07,3.42E-06,-5.38E-06,-4.38E-06
1090,7.01E-06,1.74E-06,5.38E-07,2.92E-06,-5.17E-06,-4.00E-06
1095,6.10E-06,1.59E-06,4.56E-07,2.44E-06,-4.58E-06,-3.47E-06
1100,5.17E-06,1.38E-06,3.72E-07,2.02E-06,-3.92E-06,-2.95E-06
1105,-0.0458379,-0.026175152,0.04241797,0.042390416,0.045783934,0.026223991
1110,-0.212746139,-0.118281257,0.181642993,0.181636264,0.212726298,0.118295922
1115,-0.775880727,-1.365103738,1.347814511,1.347761694,0.77585283,1.365099598
1120,-0.925578273,-2.116343992,0.667248443,0.667415368,0.925624859,2.116295279
1125,0.474168821,-0.061156925,-0.071125417,-0.071177319,-0.474157033,0.061151056
1130,0.402898757,-0.043716283,-0.06385314,-0.063975574,-0.402876303,0.043702201
1135,-0.248627666,0.511825893,-0.148985824,-0.149003838,0.248653595,-0.511826742
1140,0.175536529,-0.524993413,0.681248566,0.681277986,-0.175505774,0.524965036
1145,-5.063742212,-0.113560367,0.625640092,0.625648152,5.063773936,0.113535836
1150,-0.581122505,-0.348831613,-6.88E-04,-7.18E-04,0.581114669,0.34883002
1155,0.084536916,-0.003032871,-0.004968332,-0.005164471,-0.084514716,0.00308312
1160,-1.206941842,0.309224987,0.440019102,0.440004742,1.206970909,-0.309238784
1165,0.339140131,-0.202279133,-0.027354123,-0.027335591,-0.339105699,0.20226848
1170,0.930563706,-0.124624087,-0.208957839,-0.208968413,-0.930564916,0.124629991
1175,1.511544236,-0.041633736,-0.085419373,-0.085393757,-1.511558725,0.041619518
1180,2.048596073,-0.210686835,-0.291576978,-0.291565349,-2.048607177,0.210677215
1185,-2.958878819,0.357955246,-0.559051017,-0.559064072,2.958789808,-0.35797814
1190,0.121014437,0.166017483,0.041734376,0.04172682,-0.121038025,-0.166007852
1195,0.210204946,0.198896789,0.034371327,0.034366364,-0.210214211,-0.198893445
1200,0.346003972,0.299577932,0.045559476,0.04555521,-0.346006922,-0.299578041
1205,-0.487176261,0.556626154,-0.092957986,-0.093007192,0.487243038,-0.557056242
1210,0.074584692,0.495241627,0.341869743,0.341886478,-0.074596266,-0.49518744
1215,-1.636095202,1.018344998,0.12182145,0.121836453,1.636104448,-1.018299874
1220,0.960072252,0.045650421,-0.270116166,-0.270103883,-0.960018425,-0.045596312
1225,7.618953652,0.003295616,-0.442096492,-0.442088084,-7.618983451,-0.00335941
1230,7.10729733,-0.341218138,0.094992907,0.094942608,-7.107255342,0.341144178
1235,7.337301556,0.024955313,0.483853079,0.483856965,-7.337272106,-0.02499084
1240,-0.765747586,3.201929463,-0.307274151,-0.307190376,0.765660872,-3.201949557
1245,-3.674411618,0.552118366,0.155276649,0.155420741,3.674424661,-0.552315362
1250,0.073237538,-0.54220245,-0.782974316,-0.783123844,-0.073282122,0.542209403
1255,0.632340546,-1.464629658,-0.198720906,-0.198805791,-0.63237296,1.464708183
1260,0.41192368,0.604962443,-0.013679152,-0.013688352,-0.411940738,-0.604976572
1265,-0.094320555,0.703948976,-0.184247396,-0.184254687,0.094302467,-0.704001855
1270,0.033256439,0.488342333,-0.164943563,-0.164947595,-0.033257188,-0.488338736
1275,-0.328946571,0.086822249,-0.085133447,-0.085098688,0.32890118,-0.086893162
1280,0.051733232,0.01657914,0.011757863,0.011757498,-0.051728101,-0.016576822
1285,0.151230995,-0.061158343,0.027628817,0.027627598,-0.151229363,0.0611605
1290,0.17878512,-0.222900826,0.055340234,0.055352447,-0.178801709,0.222878525
1295,0.409752014,-0.34536225,0.107234108,0.107230172,-0.409751661,0.345364787
1300,-0.266671311,0.019316091,-0.048974249,-0.048899974,0.266713738,-0.019344099
1305,-2.017099104,-0.449702688,0.760829756,0.760864189,2.017063004,0.449674911
1310,1.476440172,-0.205259701,0.089112133,0.089294339,-1.476541154,0.204979015
1315,-0.832057764,-0.199856754,-0.091882063,-0.091750025,0.831975474,0.199878612
1320,-2.900553196,-0.518175482,-0.308850381,-0.308872867,2.900559364,0.51815186
1325,-5.345660881,0.169767743,-0.858913121,-0.858894398,5.345645542,-0.169770719
1330,-7.593080536,0.978780214,-0.371977038,-0.372023398,7.593126082,-0.978805668
1335,-6.280617362,0.830984056,1.317517348,1.31758104,6.280629652,-0.83093955
1340,-1.978539846,-2.690833722,1.334961057,1.335075541,1.978613324,2.690840407
1345,-2.384496824,-3.416956107,0.496902317,0.496974227,2.38455041,3.416938711
1350,0.807508965,0.49377189,0.790133967,0.790192394,-0.807584809,-0.4938378
1355,0.688201817,-0.750731396,-0.235900032,-0.235874983,-0.688211927,0.750692255
1360,-0.31193138,-0.737548147,-0.864629722,-0.864764111,0.311994404,0.737590525
1365,1.462574145,0.543933898,-0.499013962,-0.499127453,-1.462528319,-0.543891386
1370,-2.796721931,0.541901874,-0.036671292,-0.036753091,2.796680007,-0.541932248
1375,-1.236443442,-0.037853842,-0.06667155,-0.06673802,1.236424656,0.037736849
1380,-2.075886429,-0.725346175,0.315112724,0.315182827,2.07586692,0.725374409
1385,-3.304941049,0.397578321,0.557967619,0.558003227,3.305002894,-0.397612752
1390,-0.626991633,0.289463194,-0.090950439,-0.090914802,0.627007791,-0.289469524
1395,-2.101590508,1.583012633,-0.038312279,-0.038320726,2.101592702,-1.583012314
1400,-1.791130108,2.306016185,0.095409787,0.095442923,1.791096532,-2.306054277
1405,1.525864797,0.140334561,0.036453171,0.036547271,-1.525825573,-0.140379751
1410,0.706150138,0.60641756,0.06291125,0.062923506,-0.706139826,-0.606424667
1415,-1.52686419,1.316012686,-0.862227272,-0.862173479,1.526844763,-1.31601174
1420,-0.781334941,0.225591738,0.091513269,0.091567233,0.781372708,-0.225571246
1425,-0.149666237,0.463850382,0.451804715,0.451749063,0.149578608,-0.463921029
1430,0.373265244,-0.863442035,0.061602562,0.061599719,-0.373236267,0.863365359
1435,0.67042143,-1.383326816,1.284156433,1.284169422,-0.670404024,1.38335749
1440,-1.220068271,-0.631189193,-0.75276885,-0.75287096,1.220065971,0.631250707
1445,2.054522566,-0.391128431,-0.491902228,-0.49182792,-2.054575198,0.391123177
1450,0.225251857,-0.924034201,-0.843831005,-0.843811573,-0.225244561,0.923992852
1455,0.066393595,-0.075378848,0.053077753,0.053086357,-0.066410524,0.075392063
1460,0.009718197,0.478334888,0.352548691,0.352549865,-0.009722274,-0.47833651
1465,-0.033340222,0.738345102,0.534497019,0.534497361,0.033337314,-0.738345129
1470,0.030519581,-0.092958918,-0.151818893,-0.151846899,-0.030509344,0.092941155
1475,0.011832896,0.047775063,0.062217194,0.062226313,-0.01182782,-0.047770594
1480,0.02552954,-0.00271795,0.00520911,0.005202797,-0.025531172,0.002716303
1485,0.025730451,-0.003112989,0.005436322,0.005434473,-0.025731002,0.003112491
1490,0.026028402,-0.003272961,0.00558623,0.00558573,-0.026028596,0.003272779
1495,0.026364017,-0.003349424,0.0056953,0.005697178,-0.026363584,0.003349929
1500,0.026716462,-0.003396598,0.005785272,0.005789632,-0.026715381,0.003397863
1505,0.02794272,-0.003553003,0.006039219,0.006043224,-0.027941762,0.003554192
1510,0.02772631,-0.003526534,0.006021947,0.006024917,-0.027725564,0.003527393
1515,0.014645564,-0.001854303,0.006044186,0.006046075,-0.014646557,0.001856057
1520,0.010820419,-0.00137348,0.004335125,0.004335927,-0.010820499,0.001373947
1525,0.001869933,-2.47E-04,-4.08E-05,-4.18E-05,-0.001862005,2.45E-04
1530,6.96E-04,-9.27E-05,-4.29E-05,-4.30E-05,-6.92E-04,9.23E-05
1535,3.12E-04,-4.19E-05,-1.16E-05,-1.15E-05,-3.10E-04,4.19E-05
1540,1.39E-04,-1.89E-05,-2.74E-06,-2.57E-06,-1.38E-04,1.90E-05
