,Vector1,,,Vector2,,
965,-0.15852653,-0.369755197,0.396293151,-0.369734823,0.158528846,0.396383635
970,-0.376556623,-1.476567905,0.776920595,-1.476644955,0.376581089,0.776932974
975,-2.276977355,-0.011266047,0.581004108,-0.011309555,2.276993831,0.580989396
980,0.780524647,0.055264055,-0.280733059,0.055018871,-0.780240995,-0.280859441
985,-0.137904039,0.334531493,-0.770601127,0.334479954,0.137906493,-0.77053617
990,2.256006304,-0.265594918,-0.555119756,-0.265701166,-2.256030318,-0.555254244
995,-1.594174314,0.256181916,0.461606947,0.256099253,1.594167368,0.461585803
1000,-4.201740231,-0.19602338,2.172277912,-0.196127084,4.201722004,2.172349054
1005,2.425839575,-1.213801826,0.817823163,-1.213779147,-2.425822492,0.817855708
1010,1.632808096,-0.795074258,0.068818271,-0.79507279,-1.632793507,0.06880484
1015,1.193385761,-0.651748474,0.820625126,-0.651782912,-1.193373713,0.820398145
1020,2.711859328,-0.526825073,-0.295131061,-0.526767525,-2.711722382,-0.29545081
1025,-0.463432005,0.134953636,-0.022461318,0.134825673,0.463405993,-0.022284137
1030,0.015119772,0.217841428,-0.254723907,0.217919258,-0.015134203,-0.254648676
1035,0.51515208,0.920758361,-1.361582346,0.920719794,-0.515083689,-1.361516861
1040,2.685657455,-1.834347159,-3.116768521,-1.834278649,-2.685640915,-3.11688359
1045,-0.697315261,0.090080426,-0.004683519,0.090057114,0.697332505,-0.004769038
1050,-0.60842488,-0.560696888,0.362536357,-0.560695802,0.608412438,0.362694543
1055,0.024198276,-1.983374825,0.142277203,-1.983385729,-0.02424847,0.142278403
1060,1.444072746,0.472336821,-0.977637999,0.472339129,-1.444070452,-0.977524738
1065,1.005215907,-0.507210801,-0.636446077,-0.50721607,-1.005255635,-0.636450373
1070,0.995083005,-1.465712802,-0.980205611,-1.465687092,-0.995089402,-0.980234424
1075,5.897630235,-1.198791419,-3.897075947,-1.198688752,-5.897590539,-3.897198776
1080,1.546672458,-0.416398902,0.719381691,-0.416227932,-1.546603304,0.719307172
1085,4.654021764,-0.3846477,0.812742363,-0.384627609,-4.654071061,0.812672653
1090,5.075651735,-1.505666356,0.394149977,-1.505431511,-5.07575792,0.394092482
1095,2.940817936,1.487796139,-0.531945244,1.48791948,-2.940811709,-0.531974441
1100,0.491329708,0.810468255,0.730159685,0.81038291,-0.491279824,0.730079641
1105,-2.50939676,0.306334974,2.110937779,0.306318605,2.509292389,2.111010596
1110,0.174012378,-0.189087378,-0.436433481,-0.189080326,-0.174036471,-0.436465595
1115,-2.434843231,-0.430990087,-0.376042006,-0.431090031,2.434869656,-0.375994329
1120,-0.107910267,0.119697051,-0.055739154,0.119423316,0.107837574,-0.055911096
1125,-4.88149137,2.464314779,0.213547211,2.46431403,4.881477571,0.213658881
1130,-1.751554055,-0.380852696,0.938099172,-0.380809709,1.751579036,0.938155008
1135,1.049427888,-0.863468787,0.588673629,-0.863473237,-1.049440372,0.588726921
1140,0.106158393,1.504562484,-0.118385854,1.504560344,-0.106155511,-0.118392248
1145,0.543768116,0.71147634,-0.62497953,0.711550853,-0.543832495,-0.625023961
1150,-3.458880843,0.211722006,-0.244200857,0.21163378,3.458883337,-0.24418811
1155,-7.551695635,0.947679553,-0.387043109,0.947550963,7.551726236,-0.386815714
1160,-2.440364077,0.709245537,0.575100513,0.709278722,2.440409319,0.575123721
1165,-2.172265822,1.665821589,2.989196868,1.665912125,2.172138212,2.989178679
1170,1.033554715,-0.516981897,1.632694262,-0.516893307,-1.033634027,1.632445777
1175,1.120466407,0.047131892,0.600930098,0.047221577,-1.120455001,0.601114325
1180,0.291867995,-0.437003462,0.383188118,-0.437023592,-0.29186604,0.383175658
1185,-1.2673547,0.435506851,0.138886541,0.435431888,1.267381624,0.1388442
1190,-2.048269025,0.310055247,0.549167884,0.309992869,2.048273181,0.549175631
1195,0.514976674,-0.232688881,-0.471695137,-0.232706392,-0.514968495,-0.471665165
1200,0.097707161,-0.136483398,0.050152526,-0.136460805,-0.097718321,0.050148703
1205,-0.070080146,0.034308737,0.539814698,0.03428537,0.070102559,0.539768968
1210,0.592154838,-0.069582579,-0.230796116,-0.069673354,-0.592049876,-0.230892632
1215,1.42057776,0.564339036,-1.863216929,0.564364517,-1.420512392,-1.863220223
1220,3.765388647,-1.281505678,-4.146006001,-1.281318176,-3.765334498,-4.146157112
1225,-1.293714956,-0.727889986,-1.437343575,-0.727467556,1.293757858,-1.437936636
1230,3.891999009,-1.823989113,-1.141456829,-1.823999785,-3.892049126,-1.141498955
1235,0.656823434,-0.669471375,-0.494012185,-0.669453504,-0.656825745,-0.494019443
1240,4.474504609,-1.700484066,-1.302442108,-1.700469035,-4.474545303,-1.302479109
1245,2.438188187,-2.140450616,1.673789879,-2.140607139,-2.438190356,1.673747944
1250,1.03580844,-0.59052725,1.327637554,-0.59098242,-1.035742595,1.328362142
1255,2.262515352,-0.240325568,0.172310291,-0.240399516,-2.262507807,0.172248284
1260,1.555580424,-0.036978369,0.298131917,-0.037014721,-1.55556379,0.298014555
1265,3.160472155,0.117652279,0.124799739,0.117676353,-3.160476059,0.124653747
1270,-0.526925858,-0.289336225,-0.392812421,-0.289260585,0.526923427,-0.392810148
1275,-2.52230247,-0.38231115,0.17120483,-0.382135934,2.522379614,0.171314293
1280,1.562247151,-0.243978267,0.282986383,-0.243974996,-1.56228064,0.28290539
1285,0.951632043,0.025263591,0.754846353,0.025248201,-0.951717345,0.754826598
1290,-0.148707904,-0.246427916,0.670232052,-0.246521635,0.148587166,0.670296843
1295,0.274091628,-0.029891186,0.49862805,-0.029933571,-0.27411735,0.498663522
